-------- downlink_800000 ------------

1.000000 520.560000 5125.080000
1.100000 731.130000 14821.000000
1.330000 762.500000 22852.370000
1.360000 762.690000 24031.460000
5000.000000 762.690000 24031.460000
10000.000000 765.990000 30510.970000
60000.000000 765.990000 30510.970000
110000.000000 760.160000 30607.300000
85000.000000 763.740000 30476.870000
2000.000000 765.990000 30510.970000
4000.000000 764.650000 31122.160000
3000.000000 765.850000 30974.800000

--------- downlink_900000 -----------
1.000000 520.560000 5125.080000
1.100000 731.130000 14821.000000
1.310000 762.120000 22399.640000
1.340000 762.980000 23297.310000
5000.000000 762.980000 23297.310000
10000.000000 765.460000 29945.240000
60000.000000 765.460000 29945.240000
110000.000000 760.190000 29828.650000
85000.000000 762.740000 29869.780000
2000.000000 765.460000 29945.240000
4000.000000 764.280000 30578.380000
3000.000000 765.950000 30360.360000

--------- downlink_700000 -----------
1.000000 438.690000 8236.130000
1.100000 611.310000 17996.710000
1.320000 641.460000 25011.530000
1.360000 642.250000 26778.730000
5000.000000 642.250000 26778.730000
10000.000000 646.960000 33999.880000
60000.000000 646.960000 33999.880000
110000.000000 642.690000 34267.240000
85000.000000 645.310000 33890.370000
2000.000000 646.960000 33999.880000
4000.000000 645.670000 34504.190000
3000.000000 646.160000 34216.960000

--------- downlink_600000 -----------
1.000000 399.910000 12779.440000
1.100000 517.340000 20433.650000
1.270000 537.490000 25948.400000
1.300000 537.940000 27354.970000
5000.000000 537.940000 27354.970000
10000.000000 543.580000 33871.940000
60000.000000 543.580000 33871.940000
110000.000000 540.600000 33788.680000
85000.000000 542.310000 33684.990000
2000.000000 543.580000 33871.940000
4000.000000 541.760000 33925.310000
3000.000000 543.010000 33631.130000

--------- downlink_500000 -----------
1.000000 348.010000 19606.060000
1.100000 442.680000 27034.410000
1.260000 463.460000 30704.290000
1.290000 464.510000 30942.260000
5000.000000 464.510000 30942.260000
10000.000000 472.270000 39307.650000
11293.330000 472.890000 41052.420000
60000.000000 472.890000 41052.420000
110000.000000 471.720000 42566.010000
85000.000000 472.620000 41927.550000
2000.000000 472.890000 41052.420000
4000.000000 472.010000 41711.780000
3000.000000 472.180000 41289.470000

--------- downlink_400000 -----------
1.000000 260.590000 36942.860000
1.100000 325.490000 40145.680000
1.230000 344.540000 41982.370000
1.270000 345.480000 42492.030000
5000.000000 345.480000 42492.030000
10000.000000 358.060000 50805.360000
12516.000000 360.140000 53238.690000
60000.000000 360.140000 53238.690000
110000.000000 360.620000 58210.120000
2000.000000 360.620000 58210.120000
4000.000000 359.610000 56076.470000
3000.000000 360.500000 56649.300000
